pds,PolkaDotSox
bpd,BagpipeDan
mdp,mdp4828
bsn,buffalospynovel
ron,Ron Stuckel
nay,noaceyet
blue,bluebehir
omoms,OldestManOnMySpace
taa,thearchangel
jason,woodjh
emily,enwood
cindy,ctrzn
kevin,khcst5
joe,Joseph Hill
mouse,Anonymouse512
deb,deborahjeanne
bfl,bigfluffylemon
bann,TheBannister
pirate,jmilum
spam,Dispaminite
darrin,DarrinWilliams
bos,bosworthdelajive
$2m,twomillionbucks
sai,SaiSaysPlayGo
ao,Auramine O
http,Accatitippi
@,Urza47
toast,saberwolf13
ben,ben_tyrer
night,Nightshade935
vvv,Veni Vidi Vici
shark,redshark92
milk,imilkman
rc,RCSparrow
lemon,nolemonplease
owl,hibou
md,MD1616
lj,ljtrigirl
bt,bluetorch
brian,itsbrianyay
max,maximumsaximum
ali,aligator7
lamb,littlelambchopx
red,bigred92
jelly,FireBreathingJelly
